[2025-04-25 19:48:42] [info] Elevator Simulation started.
[2025-04-25 19:48:42] [info] Beginning to Parse CSV file.
[2025-04-25 19:49:23] [info] New Passenger waiting on floor 54
[2025-04-25 19:49:25] [info] New Passenger waiting on floor 30
[2025-04-25 19:50:10] [info] New Passenger waiting on floor 87
[2025-04-25 19:50:15] [info] New Passenger waiting on floor 35
[2025-04-25 19:50:43] [info] New Passenger waiting on floor 35
[2025-04-25 19:51:30] [info] New Passenger waiting on floor 63
[2025-04-25 19:52:07] [info] New Passenger waiting on floor 20
[2025-04-25 19:52:13] [info] New Passenger waiting on floor 23
[2025-04-25 19:53:10] [info] New Passenger waiting on floor 48
[2025-04-25 19:54:07] [info] New Passenger waiting on floor 70
[2025-04-25 19:55:02] [info] New Passenger waiting on floor 57
[2025-04-25 19:55:56] [info] New Passenger waiting on floor 40
[2025-04-25 19:56:09] [info] New Passenger waiting on floor 7
[2025-04-25 19:56:16] [info] New Passenger waiting on floor 35
[2025-04-25 19:56:57] [info] New Passenger waiting on floor 55
[2025-04-25 19:57:52] [info] New Passenger waiting on floor 27
[2025-04-25 19:57:59] [info] New Passenger waiting on floor 19
[2025-04-25 19:58:32] [info] New Passenger waiting on floor 87
[2025-04-25 19:58:58] [info] New Passenger waiting on floor 96
[2025-04-25 19:59:27] [info] New Passenger waiting on floor 95
[2025-04-25 19:59:31] [info] New Passenger waiting on floor 40
[2025-04-25 20:00:29] [info] New Passenger waiting on floor 32
[2025-04-25 20:00:51] [info] New Passenger waiting on floor 11
[2025-04-25 20:01:11] [info] New Passenger waiting on floor 63
[2025-04-25 20:02:06] [info] New Passenger waiting on floor 62
[2025-04-25 20:02:15] [info] New Passenger waiting on floor 3
[2025-04-25 20:02:38] [info] New Passenger waiting on floor 16
[2025-04-25 20:02:51] [info] New Passenger waiting on floor 85
[2025-04-25 20:03:02] [info] New Passenger waiting on floor 95
[2025-04-25 20:03:27] [info] New Passenger waiting on floor 92
[2025-04-25 20:04:26] [info] New Passenger waiting on floor 42
[2025-04-25 20:05:12] [info] New Passenger waiting on floor 13
[2025-04-25 20:05:34] [info] New Passenger waiting on floor 51
[2025-04-25 20:05:49] [info] New Passenger waiting on floor 92
[2025-04-25 20:06:11] [info] New Passenger waiting on floor 25
[2025-04-25 20:06:15] [info] New Passenger waiting on floor 18
[2025-04-25 20:06:48] [info] New Passenger waiting on floor 17
[2025-04-25 20:07:15] [info] New Passenger waiting on floor 3
[2025-04-25 20:07:26] [info] New Passenger waiting on floor 10
[2025-04-25 20:08:02] [info] New Passenger waiting on floor 46
[2025-04-25 20:08:42] [info] New Passenger waiting on floor 71
[2025-04-25 20:09:17] [info] New Passenger waiting on floor 98
[2025-04-25 20:10:08] [info] New Passenger waiting on floor 13
[2025-04-25 20:11:06] [info] New Passenger waiting on floor 35
[2025-04-25 20:12:02] [info] New Passenger waiting on floor 64
[2025-04-25 20:12:39] [info] New Passenger waiting on floor 65
[2025-04-25 20:13:08] [info] New Passenger waiting on floor 11
[2025-04-25 20:13:10] [info] New Passenger waiting on floor 36
[2025-04-25 20:13:34] [info] New Passenger waiting on floor 5
[2025-04-25 20:13:37] [info] New Passenger waiting on floor 96
[2025-04-25 20:13:49] [info] New Passenger waiting on floor 78
[2025-04-25 20:14:09] [info] New Passenger waiting on floor 32
[2025-04-25 20:14:27] [info] New Passenger waiting on floor 88
[2025-04-25 20:15:03] [info] New Passenger waiting on floor 89
[2025-04-25 20:15:49] [info] New Passenger waiting on floor 1
[2025-04-25 20:16:18] [info] New Passenger waiting on floor 92
[2025-04-25 20:16:56] [info] New Passenger waiting on floor 85
[2025-04-25 20:17:51] [info] New Passenger waiting on floor 28
